Produto,URL,Nota,N de avaliações,Preco,URL_IMG,tweet_text,media_path,posted
Base De Carregamento Do Dualsense-padrão-playstation_5,https://www.amazon.com.br/Base-Carregamento-Do-Dualsense-PlayStation/dp/B09JH4PD8Q/ref=zg_bs_c_videogames_d_sccl_6/145-0386639-9018341?pd_rd_w=PvOlm&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B09JH4PD8Q&psc=1,"4,9",11.579 avaliações de clientes,R$189,https://m.media-amazon.com/images/I/41xfd4g3PZL._AC_SX679_.jpg,"Não perca esta promoção: Base De Carregamento Do Dualsense-padrão-playstation_5 com mais de 11.579 avaliações de clientes avaliações e nota 4,9 por apenas R$189! 
Link do produto: https://www.amazon.com.br/Base-Carregamento-Do-Dualsense-PlayStation/dp/B09JH4PD8Q/ref=zg_bs_c_videogames_d_sccl_6/145-0386639-9018341?pd_rd_w=PvOlm&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B09JH4PD8Q&psc=1",media/Base De Carregamento Do Dualsense-padrão-playstation_5.jpg,False
"Havit HV-H2232d - Fone de Ouvido, Gamer, Iluminação",https://www.amazon.com.br/Headphone-HV-H2232d-Ilumina%C3%A7%C3%A3o-Microfone-Conector/dp/B07N78G8GB/ref=zg_bs_c_videogames_d_sccl_4/145-0386639-9018341?pd_rd_w=PvOlm&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B07N78G8GB&psc=1,"4,5",7.218 avaliações de clientes,R$87,https://m.media-amazon.com/images/I/516HwNOJoUL._AC_SX466_.jpg,"Promoção imperdível: Havit HV-H2232d - Fone de Ouvido, Gamer, Iluminação com mais de 7.218 avaliações de clientes avaliações e nota 4,5 por apenas R$87! 
Link do produto: https://www.amazon.com.br/Headphone-HV-H2232d-Ilumina%C3%A7%C3%A3o-Microfone-Conector/dp/B07N78G8GB/ref=zg_bs_c_videogames_d_sccl_4/145-0386639-9018341?pd_rd_w=PvOlm&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B07N78G8GB&psc=1","media/Havit HV-H2232d - Fone de Ouvido, Gamer, Iluminação.jpg",False
Echo Pop | Smart speaker compacto com som,https://www.amazon.com.br/Echo-Pop-Cor-Preta/dp/B09WXVH7WK/ref=zg_bs_c_amazon-devices_d_sccl_4/145-0386639-9018341?pd_rd_w=8PDut&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B09WXVH7WK&psc=1,"4,8",59.263 avaliações de clientes,R$360,https://m.media-amazon.com/images/I/71eWKwcVjnL._AC_SX425_.jpg,"Não perca esta promoção: Echo Pop | Smart speaker compacto com som com mais de 59.263 avaliações de clientes avaliações e nota 4,8 por apenas R$360! 
Link do produto: https://www.amazon.com.br/Echo-Pop-Cor-Preta/dp/B09WXVH7WK/ref=zg_bs_c_amazon-devices_d_sccl_4/145-0386639-9018341?pd_rd_w=8PDut&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B09WXVH7WK&psc=1",media/Echo Pop _ Smart speaker compacto com som.jpg,False
"Epson EcoTank L3250 - Multifuncional, Tanque de Tinta",https://www.amazon.com.br/Multifuncional-Epson-EcoTank-L3250-Colorida/dp/B098YHFT9S/ref=zg_bs_c_computers_d_sccl_3/145-0386639-9018341?pd_rd_w=2tlJB&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B098YHFT9S&psc=1,"4,8",22.542 avaliações de clientes,R$1.119,https://m.media-amazon.com/images/I/51T-6cdhyaL._AC_SY450_.jpg,"Não perca esta promoção: Epson EcoTank L3250 - Multifuncional, Tanque de Tinta com mais de 22.542 avaliações de clientes avaliações e nota 4,8 por apenas R$1.119! 
Link do produto: https://www.amazon.com.br/Multifuncional-Epson-EcoTank-L3250-Colorida/dp/B098YHFT9S/ref=zg_bs_c_computers_d_sccl_3/145-0386639-9018341?pd_rd_w=2tlJB&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B098YHFT9S&psc=1","media/Epson EcoTank L3250 - Multifuncional, Tanque de Tinta.jpg",False
Kit Cueca Boxer Polo Wear 12 Peças Lisas,https://www.amazon.com.br/cuecas-Polo-Wear-Masculino-Marinho/dp/B08W6LBTLZ/ref=zg_bs_c_fashion_d_sccl_2/145-0386639-9018341?pd_rd_w=3Ozu1&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B08W6LBTLZ&psc=1,"4,4",8.740 avaliações de clientes,R$108,https://m.media-amazon.com/images/I/51436Fn1SoL._AC_SX385_.jpg,"Confira esta oferta incrível: Kit Cueca Boxer Polo Wear 12 Peças Lisas com mais de 8.740 avaliações de clientes avaliações e nota 4,4 por apenas R$108! 
Link do produto: https://www.amazon.com.br/cuecas-Polo-Wear-Masculino-Marinho/dp/B08W6LBTLZ/ref=zg_bs_c_fashion_d_sccl_2/145-0386639-9018341?pd_rd_w=3Ozu1&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B08W6LBTLZ&psc=1",media/Kit Cueca Boxer Polo Wear 12 Peças Lisas.jpg,False
Fire TV Stick HD | Com controle remoto,https://www.amazon.com.br/fire-tv-stick-hd/dp/B0CQMT33WX/ref=zg_bs_c_amazon-devices_d_sccl_1/145-0386639-9018341?pd_rd_w=8PDut&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B0CQMT33WX&psc=1,"4,7",4.002 avaliações de clientes,R$314,https://m.media-amazon.com/images/I/61K7fAOac9L._AC_SY300_SX300_.jpg,"Promoção imperdível: Fire TV Stick HD | Com controle remoto com mais de 4.002 avaliações de clientes avaliações e nota 4,7 por apenas R$314! 
Link do produto: https://www.amazon.com.br/fire-tv-stick-hd/dp/B0CQMT33WX/ref=zg_bs_c_amazon-devices_d_sccl_1/145-0386639-9018341?pd_rd_w=8PDut&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B0CQMT33WX&psc=1",media/Fire TV Stick HD _ Com controle remoto.jpg,False
Cartucho de tinta HP 667 Preto Original (3YM79AB),https://www.amazon.com.br/Cartucho-HP-Preto-Original-3YM79AB/dp/B08WKPK952/ref=zg_bs_c_computers_d_sccl_4/145-0386639-9018341?pd_rd_w=2tlJB&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B08WKPK952&psc=1,"4,7",10.746 avaliações de clientes,R$49,https://m.media-amazon.com/images/I/81rYpjuTwdL._AC_SX355_.jpg,"Não perca esta promoção: Cartucho de tinta HP 667 Preto Original (3YM79AB) com mais de 10.746 avaliações de clientes avaliações e nota 4,7 por apenas R$49! 
Link do produto: https://www.amazon.com.br/Cartucho-HP-Preto-Original-3YM79AB/dp/B08WKPK952/ref=zg_bs_c_computers_d_sccl_4/145-0386639-9018341?pd_rd_w=2tlJB&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B08WKPK952&psc=1",media/Cartucho de tinta HP 667 Preto Original (3YM79AB).jpg,False
PlayStation®5 Slim Edição Digital com 2 Jogos,https://www.amazon.com.br/PlayStation%C2%AE5-Slim-Edi%C3%A7%C3%A3o-Digital-Jogos/dp/B0CYJBWGH5/ref=zg_bs_c_videogames_d_sccl_1/145-0386639-9018341?pd_rd_w=PvOlm&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B0CYJBWGH5&psc=1,"4,9",3.178 avaliações de clientes,R$3.431,https://m.media-amazon.com/images/I/71ANJQTALWL._AC_SX679_.jpg,"Grande oportunidade: PlayStation®5 Slim Edição Digital com 2 Jogos com mais de 3.178 avaliações de clientes avaliações e nota 4,9 por apenas R$3.431! 
Link do produto: https://www.amazon.com.br/PlayStation%C2%AE5-Slim-Edi%C3%A7%C3%A3o-Digital-Jogos/dp/B0CYJBWGH5/ref=zg_bs_c_videogames_d_sccl_1/145-0386639-9018341?pd_rd_w=PvOlm&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B0CYJBWGH5&psc=1",media/PlayStation®5 Slim Edição Digital com 2 Jogos.jpg,False
Filtro/Refil de Água Acqua Pure para Purificador Electrolux,https://www.amazon.com.br/Filtro-Refil-Acqua-Purificador-Electrolux/dp/B09BK73232/ref=zg_bs_c_kitchen_d_sccl_1/145-0386639-9018341?pd_rd_w=4T3H2&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B09BK73232&psc=1,"4,8",11.681 avaliações de clientes,R$75,https://m.media-amazon.com/images/I/31jHHrsOqyL._AC_SY450_.jpg,"Confira esta oferta incrível: Filtro/Refil de Água Acqua Pure para Purificador Electrolux com mais de 11.681 avaliações de clientes avaliações e nota 4,8 por apenas R$75! 
Link do produto: https://www.amazon.com.br/Filtro-Refil-Acqua-Purificador-Electrolux/dp/B09BK73232/ref=zg_bs_c_kitchen_d_sccl_1/145-0386639-9018341?pd_rd_w=4T3H2&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B09BK73232&psc=1",media/Filtro_Refil de Água Acqua Pure para Purificador Electrolux.jpg,False
"Scotch, 3M, Fita de Empacotamento, Corta Fácil –",https://www.amazon.com.br/Empacotamento-Scotch-Maior-Ades%C3%A3o-Transparente/dp/B078KL8GYF/ref=zg_bs_c_hi_d_sccl_6/145-0386639-9018341?pd_rd_w=cy0o9&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B078KL8GYF&psc=1,"4,6",1.776 avaliações de clientes,R$10,https://m.media-amazon.com/images/I/71sHlbIHGSL._AC_SX355_.jpg,"Não perca esta promoção: Scotch, 3M, Fita de Empacotamento, Corta Fácil – com mais de 1.776 avaliações de clientes avaliações e nota 4,6 por apenas R$10! 
Link do produto: https://www.amazon.com.br/Empacotamento-Scotch-Maior-Ades%C3%A3o-Transparente/dp/B078KL8GYF/ref=zg_bs_c_hi_d_sccl_6/145-0386639-9018341?pd_rd_w=cy0o9&content-id=amzn1.sym.b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_p=b9152bd7-b7ff-4dd9-a902-6c656e51208a&pf_rd_r=J6P2Y7QWEP2Z95PJPTAX&pd_rd_wg=2KNF4&pd_rd_r=0556c0ae-1a06-429d-8ebe-0391ed3810ba&pd_rd_i=B078KL8GYF&psc=1","media/Scotch, 3M, Fita de Empacotamento, Corta Fácil –.jpg",False
